time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-29T03:04:31.400Z,-8.3005,116.4785,35,4.4,mb,,77,2.308,1.2,us,us1000g1zp,2018-08-24T00:30:59.040Z,"3km NW of Lelongken, Indonesia",earthquake,8.1,2,0.126,18,reviewed,us,us
2018-07-29T02:20:08.550Z,-8.4127,116.5145,10,4.8,mb,,72,2.337,1.11,us,us2000ggf7,2018-08-11T02:31:31.696Z,"4km SW of Sembalunbumbung, Indonesia",earthquake,5.6,1.7,0.103,29,reviewed,us,us
2018-07-29T01:50:32.220Z,-8.3133,116.4514,10.9,5.3,mww,,29,2.28,1.06,us,us2000gges,2018-08-11T02:29:12.426Z,"5km WNW of Lelongken, Indonesia",earthquake,6.6,3.2,0.086,13,reviewed,us,us
2018-07-29T01:44:24.260Z,-8.3605,116.5625,10,4.8,mb,,46,2.387,0.97,us,us2000ggep,2018-08-11T02:24:50.742Z,"3km NE of Sembalunbumbung, Indonesia",earthquake,6.9,1.9,0.092,37,reviewed,us,us
2018-07-29T00:37:34.140Z,-8.2441,116.5669,13.91,4.2,mb,,62,2.4,1.24,us,us1000g1zu,2018-08-17T23:37:06.388Z,"3km NE of Obelobel, Indonesia",earthquake,6.3,4.9,0.141,14,reviewed,us,us
2018-07-29T00:18:32.720Z,-8.1939,116.5863,10,4,mb,,93,2.424,0.74,us,us1000g1zj,2018-08-17T23:21:28.040Z,"8km NNE of Obelobel, Indonesia",earthquake,8.5,1.9,0.173,9,reviewed,us,us
2018-07-29T00:05:30.050Z,-8.3172,116.4413,10,4.3,mb,,78,2.27,0.93,us,us1000g1zi,2018-08-17T04:56:26.040Z,"5km SSE of Bayan, Indonesia",earthquake,4.6,1.9,0.16,11,reviewed,us,us
2018-07-28T23:39:33.030Z,-8.1745,116.3593,10,4.6,mb,,74,2.203,1.03,us,us2000ggd6,2018-08-17T04:36:00.040Z,"5km NNE of Akarakar, Indonesia",earthquake,7.9,1.9,0.114,23,reviewed,us,us
2018-07-28T23:19:35.640Z,-8.2053,116.5143,10,4.3,mb,,83,2.352,0.29,us,us1000g1zb,2018-08-17T04:24:14.040Z,"7km NNW of Obelobel, Indonesia",earthquake,7.6,1.9,0.189,8,reviewed,us,us
2018-07-28T23:16:26.230Z,-8.287,116.5426,10,4.9,mb,,48,2.372,0.81,us,us2000gge4,2018-08-17T04:18:38.040Z,"2km SSW of Obelobel, Indonesia",earthquake,7.2,1.9,0.087,42,reviewed,us,us
2018-07-28T23:15:59.180Z,-8.2054,116.563,10,4.4,mb,,68,2.4,0.61,us,us1000g1za,2018-08-17T04:15:34.040Z,"6km NNE of Obelobel, Indonesia",earthquake,6.7,1.9,0.17,10,reviewed,us,us
2018-07-28T23:06:48.820Z,-8.2204,116.4624,10,5.4,mww,,24,2.299,1.01,us,us2000ggcj,2018-08-17T04:05:36.099Z,"4km ENE of Anyar, Indonesia",earthquake,6.4,1.7,0.117,7,reviewed,us,us
2018-07-28T22:58:44.060Z,-8.1808,116.4971,10,4.7,mb,,80,2.338,1.38,us,us1000g1z6,2018-08-17T03:32:46.040Z,"9km NE of Anyar, Indonesia",earthquake,4.8,1.9,0.175,10,reviewed,us,us
2018-07-28T22:56:45.090Z,-8.2593,116.5465,10,4.7,mb,,134,2.378,0.54,us,us1000g1zh,2018-08-17T03:21:30.040Z,"0km NNW of Obelobel, Indonesia",earthquake,8.9,1.9,0.209,7,reviewed,us,us
2018-07-28T22:55:36.080Z,-8.2139,116.5888,10,4.8,mb,,75,2.424,0.74,us,us1000g1zf,2018-08-17T03:13:11.040Z,"7km NE of Obelobel, Indonesia",earthquake,9.2,1.9,0.197,8,reviewed,us,us
2018-07-28T22:47:38.740Z,-8.2395,116.508,14,6.4,mww,,14,2.342,1.15,us,us2000ggbs,2018-08-19T15:31:20.296Z,"5km WNW of Obelobel, Indonesia",earthquake,3.6,1.6,0.054,33,reviewed,us,us
2018-07-01T06:00:14.040Z,-8.5723,116.2467,121.93,4.1,mb,,85,2.074,0.91,us,us2000fyae,2018-07-27T13:05:59.040Z,"3km S of Sesaot Lauq, Indonesia",earthquake,8.3,8.8,0.117,20,reviewed,us,us
